City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hamilton,78.08,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
2,Vaini,73.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
4,Caxito,75.85,broken clouds,-8.5785,13.6643,
6,Isla Mujeres,87.85,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
7,Hilo,80.26,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
8,Port Keats,75.74,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
11,Lorengau,80.89,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
12,Kokopo,76.53,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
15,Kapaa,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
16,Dolores,70.14,broken clouds,-36.3132,-57.6792,Apart Hotel - Arianos
17,Hithadhoo,82.81,overcast clouds,-0.6,73.0833,Scoop Guest House
18,Gat,79.39,clear sky,31.61,34.7642,OlusHome
20,Souillac,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
22,Butaritari,83.71,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
23,Mahebourg,70.09,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
25,Mopipi,76.19,clear sky,-21.1833,24.8833,
26,Hirara,82.76,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
30,Atuona,78.22,clear sky,-9.8,-139.0333,Villa Enata
33,Mawlaik,73.98,overcast clouds,23.6333,94.4167,AKZ Guest House
36,San Patricio,90.32,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
39,Rikitea,73.58,clear sky,-23.1203,-134.9692,People ThankYou
40,Grand Gaube,70.2,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
44,Ewa Beach,85.01,few clouds,21.3156,-158.0072,Uncle Junior Robert
46,Azare,82.92,clear sky,11.6765,10.1948,Muk hostel
48,Eyl,79.59,overcast clouds,7.9803,49.8164,Amiin Hotel
52,Porbandar,80.55,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
53,Sahuaripa,93.36,clear sky,29.05,-109.2333,Estatua de Sahuaripa
54,Chumphon,70.09,overcast clouds,10.3333,98.8333,สกาน จ๋า.
55,Payo,72.32,overcast clouds,-3.7508,103.6372,Mess keban agung
62,Tessalit,91.58,clear sky,20.1986,1.0114,
63,Rafaela,90.0,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
69,Alofi,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
70,San Juan,85.73,clear sky,-31.5375,-68.5364,Hotel Provincial
72,Avarua,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
73,Domoni,74.48,clear sky,-12.2569,44.5319,Al Djadid
76,Salalah,82.49,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
83,Georgetown,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
86,Saint Joseph,92.91,clear sky,39.7686,-94.8466,Whiskey Mansion Inn
93,Ondjiva,74.73,clear sky,-17.0667,15.7333,SOS Motel
96,Cabo Rojo,88.97,few clouds,18.0866,-67.1457,Hotel Perichi's
97,Tual,80.62,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
98,Moron,79.81,scattered clouds,-34.6534,-58.6198,Hotel Morón
99,Cusuna,84.07,overcast clouds,15.85,-85.2333,
